Author Name,Author Affiliation,Country,Article No.,h-index
Gert Dandanell,University of Copenhagen,dk,33,
Maria L. M. Jørgensen,University of Copenhagen,dk,33,
"Liisalotte Elme,",University of Copenhagen,dk,33,
Tsun-Hung Tsai,Shih Chien University,tw,34,
Hung Sun,Chung Hua University,tw,34,
Li-Hsing Ho,Chung Hua University,tw,34,
Juan Ramón Portela Miguelez,University of Cádiz,es,35,
Jezabel Sánchez-Oneto,University of Cádiz,es,35,
Ignacio de Ory,University of Cádiz,es,35,
Ildefonso Caro Pina,University of Cádiz,es,35,
Casimiro Mantell,University of Cádiz,es,35,
Manuel J. Díaz Villanueva,University of Cádiz,es,35,
Simone Schnall,University of Cambridge,gb,36,
Ruth Weaver,Plymouth University,gb,36,
Craig Hedge,Cardiff University,gb,36,15
"Stachoň, Zdenek",Masaryk University,cz,37,
"Švedová, Hana",Masaryk University,cz,37,
"Káčová, Natalie",Masaryk University,cz,37,
"Chmelík, Jiri",Masaryk University,cz,37,
"Brůža, Vojtech",Masaryk University,cz,37,
"Kvarda, Ondrej",Masaryk University,cz,37,
"Ugwitz, Pavel",Masaryk University,cz,37,
"Šašinková, Alzbeta",Masaryk University,cz,37,
"Fořtová, Nicola Catherine",Masaryk University,cz,37,
"Šašinka, Čenek",Masaryk University,cz,37,
Michal Cerny,Masaryk University,cz,37,
Katerina Jochecova,Masaryk University,cz,37,
Elliot Hu‐Au,"Teachers College, Columbia University",us,38,
Sandra Okita,"Teachers College, Columbia University",us,38,19
Sonia Moreno-Perez,Universidad Europea de Madrid,es,39,
Sara Redondo-Duarte,Universidad Europea de Madrid,es,39,
Maria Dolores Vivas-Urias,Universidad Europea de Madrid,es,39,
Eva Jimenez,Universidad Europea de Madrid,es,39,
Gonzalo Mariscal,Universidad Europea de Madrid,es,39,
Janvom Brocke,University of li,li,40,
Tim A.Majchrzak,University of Agder,Norway,40,
Stefan Stieglitz,University of Duisburg-Essen,de,40,
Charlotte Wehking,University of li,li,40,
Jaziar Radianti,University of Agder,Norway,40,
Jennifer Fromm,University of Duisburg-Essen,de,40,
Marc Erich Latoschik,University of Würzburg,de,41,31
Silke Grafe,University of Würzburg,de,41,
Adam Ibrahim,University of Montreal,ca,42,5
Brandon Huynh,"University of California, Santa Barbara",us,42,5
Jonathan Downey,"University of California, Santa Barbara",us,42,
Tobias Höllerer,"University of California, Santa Barbara",us,42,
Dorothy Chun,"University of California, Santa Barbara",us,42,
John O'donovan,"University of California, Santa Barbara",us,42,
Zhe Liu,Henan Economy and Trade Vocational College,cn,43,
Walid M. Khalilia,Al-Istiqlal University,ps,44,5
Miroslav Gombár,University of Presov,sk,44,14
Zuzana Palková,Slovak University of Agriculture in Nitra,cz,44,10
Michal Palko,Slovak University of Agriculture in Nitra,sk,44,
Jan Valiček,Slovak University of Agriculture in Nitra,cz,44,
Marta Harničárová,Slovak University of Agriculture in Nitra,cz,44,
Nadezhda MaksimenkoNadezhda Maksimenko,"ITMO University
",ru,45,
Anzhelika Okolzina,"ITMO University
",ru,45,
Anna Vlasova,"ITMO University
",ru,45,
Chantal Tracey,"ITMO University
",ru,45,4
Mikhail Kurushkin,"ITMO University
",ru,45,
Shuxia YangShuxia Yang,Henan University,cn,46,
